统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__C6AAM11,C6AAM11,幸福六六小目标天天04期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.9808,0.859,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__80ZDH98,80ZDH98,幸福六六小目标天天08期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.9204,0.83,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__U8FH2I9,U8FH2I9,幸福六六小目标天天09期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,0.7346,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,不完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__YNOQ6GO,YNOQ6GO,幸福六六小目标天天10期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.7484,0.7452,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__MHP8B7P,MHP8B7P,幸福六六小目标天天17期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,2.8931,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,不完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__VUCMEX6,VUCMEX6,幸福六六小目标天天18期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.3388,0.5792,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__NXPJJVN,NXPJJVN,幸福六六小目标天天19期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.9797,0.5561,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__WSG6QO1,WSG6QO1,幸福小列车第1期投顾服务,天天基金/投顾,广发基金-广发投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.972,2.9583,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,是,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__CCNQ10W,CCNQ10W,幸福小列车目标盈第9期,天天基金/投顾,广发基金-广发投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,不完整,C,原始状态2,,,是,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__TJF0JIM,TJF0JIM,银河目标盈05期,天天基金/投顾,银河证券-银河投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.6097,4.1168,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__T1OZCFZ,T1OZCFZ,银华天玑-小星愿目标盈第05期,天天基金/投顾,银华天玑投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.3681,3.02,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__ZVTPCFZ,ZVTPCFZ,智盈天天第1期投顾服务,天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.4646,3.1039,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__QK73NQK,QK73NQK,智盈天天第2期投顾服务,天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.5282,5.0276,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BZ1LO16,BZ1LO16,智盈天天第3期投顾服务,天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,4.4347,10.0503,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__C1MHSAY,C1MHSAY,智盈天天第5期投顾服务,天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.4505,1.8895,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__7PMJLVF,7PMJLVF,智盈天天第6期投顾服务,天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.5451,2.0344,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__YFABLEC,YFABLEC,智盈天天组合第4期(新年特供),天天基金/投顾,嘉实财富-嘉实投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,4.4624,10.0551,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
gffunds__GFJJ001326,GFJJ001326,广发纯债甄选,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,98.94,1.06,0,0,14.96,0.5828,0.8399,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具,国内+海外,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001325,GFJJ001325,广发短债甄选,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,98.99,1.01,0,0,0,0.2429,0.3349,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-04-29,2026-04-29,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000001,GFJJ000001,广发货币加,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,49,51,0,0,0,0.1368,0.2238,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000763,GFJJ000763,广发货币优选,广发基金投顾,广发基金投顾,低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,0,100,0,0,0,0.0146,0.01,现金管理型,现金管理型,R0 现金/超低波｜现金管理型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001510,GFJJ001510,广发货币优选（机构版）,广发基金投顾,广发基金投顾,低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,0,100,0,0,0,0.0068,0,现金管理型,现金管理型,R0 现金/超低波｜现金管理型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001563,GFJJ001563,广发债基精选,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,90,10,0,5.5,0,0.6659,1.0296,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2024-12-18,2024-12-18,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001581,GFJJ001581,广发债券宝,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,91.7,8.3,0,14.48,0,0.6189,1.0977,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001509,GFJJ001509,货币加（机构版）,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,49.04,50.96,0,0,0,0.1334,0.1299,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-03-11,2026-03-11,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000011,GFJJ000011,添利30天,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,99,1,0,2,0,0.358,0.6317,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001508,GFJJ001508,添利30天（机构版）,广发基金投顾,广发基金投顾,中低风险,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,99,1,0,2,0,0.412,0.5487,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-03-11,2026-03-11,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
huaxia_tougu__SF1012,SF1012,货币优享组合,华夏投顾/华夏财富查理智投,华夏投顾/华夏财富查理智投,中低风险(R2),R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,16.01,83.99,0,0,0,0.1455,0.5526,现金管理型,现金管理型,R0 现金/超低波｜现金管理型,国内｜主动为主｜主动基金组合,国内,完整,B,正常运作,2026-05-22,2026-05-22,否,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
huaxia_tougu__SF10LG,SF10LG,小常乐目标盈061期（全球版）,华夏投顾/华夏财富查理智投,华夏投顾/华夏财富查理智投,未披露,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,0,100,0,0,0,0.0161,0.0014,目标盈系列产品,目标盈系列产品,R0 现金/超低波｜目标盈系列产品,海外/全球｜主动为主｜目标盈/止盈、海外全球｜主动基金组合,海外/全球,不完整,B,未披露,,,否,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
ttfund__1JI0GQO,1JI0GQO,表韭纯纯的债,天天基金/投顾,国联证券-国联投顾,未披露,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,R0 现金/超低波,三项均在R0内,,0,88.0094,11.9906,0,12.0247,0,0.4292,0.3897,纯债/短债型,纯债/短债型,R0 现金/超低波｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
